,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
2,1,3,NYJ,Quinnen Williams\WillQu00,DT,21,2021.0,0,0,3,16.0,16.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,15.5,Alabama,College Stats,1,2200.0,Houston Texans,2022.0,0.7333333333333333,11.733333333333333,19.396666666666665,-3.3966666666666647,-0.17511599931259658,"May 3, 2019",RRBI,"Red River Bancshares, Inc.",45.0,54.29,0.20600000000000002,Financials,Banks,United States,1,0.625,10.0,16.53125,-0.53125,-0.03213610586011342
3,1,4,OAK,Clelin Ferrell\FerrCl00,DE,22,2021.0,0,0,2,11.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,8.0,Clemson,College Stats,1,1800.0,New York Jets,2022.0,0.6,6.6,15.87,-4.869999999999999,-0.30686830497794576,"May 10, 2019",UBER,"Uber Technologies, Inc.",45.0,31.195,-0.307,Industrials,Road & Rail,United States,1,0.625,6.875,16.53125,-5.53125,-0.33459357277882795
14,1,15,WAS,Dwayne Haskins\HaskDw00,QB,22,2020.0,0,0,0,4.0,4.0,16.0,267.0,444.0,2804.0,12.0,14.0,40.0,147.0,1.0,0.0,0.0,0.0,,,,Ohio St.,College Stats,1,1050.0,Philadelphia Eagles,2022.0,0.35,1.4,9.257499999999999,-5.2574999999999985,-0.5679179044018363,"Jun 20, 2019",WORK,"Slack Technologies, Inc.",26.0,45.2,0.452,,,,1,0.3611111111111111,1.4444444444444444,9.551388888888889,-5.551388888888889,-0.581212738112549
21,1,22,PHI,Andre Dillard\DillAn00,T,23,2021.0,0,0,0,6.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Washington St.,College Stats,1,780.0,Las Vegas Raiders,2022.0,0.26,1.56,6.877,-0.8769999999999998,-0.12752653773447722,"Jul 18, 2019",AMK,"AssetMark Financial Holdings, Inc.",22.0,20.36,-0.07400000000000001,Financials,Capital Markets,United States,1,0.3055555555555556,1.8333333333333335,8.081944444444446,-2.0819444444444457,-0.2576043993813371
29,1,30,NYG,Deandre Baker\BakeDe00,CB,22,2021.0,0,0,1,6.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,1.0,Georgia,College Stats,1,620.0,Kansas City Chiefs,2022.0,0.20666666666666667,1.24,5.466333333333333,0.533666666666667,0.09762790414049644,"Apr 4, 2019",SILK,"Silk Road Medical, Inc.",20.0,37.65,0.882,Health Care,Health Care Equipment & Supplies,United States,1,0.2777777777777778,1.6666666666666667,7.347222222222222,-1.3472222222222223,-0.1833648393194707
31,1,32,NWE,N'Keal Harry\HarrNK00,WR,21,2021.0,0,0,1,6.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,7.0,49.0,0.0,57.0,598.0,4.0,,,,Arizona St.,College Stats,1,590.0,Detroit Lions,2022.0,0.19666666666666666,1.18,5.201833333333333,0.7981666666666669,0.15343949248662336,"Jun 27, 2019",ADPT,Adaptive Biotechnologies Corporation,20.0,9.24,-0.5379999999999999,Health Care,Life Sciences Tools & Services,United States,1,0.2777777777777778,1.6666666666666667,7.347222222222222,-1.3472222222222223,-0.1833648393194707
36,2,37,CAR,Greg Little\LittGr01,T,21,2020.0,0,0,0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Mississippi,College Stats,2,530.0,Houston Texans,2022.0,0.17666666666666667,0.53,4.672833333333333,-1.6728333333333332,-0.357991225880087,"Jul 19, 2019",AFYA,Afya Limited,19.0,13.45,-0.292,Consumer Discretionary,Diversified Consumer Services,Brazil,2,0.2638888888888889,0.7916666666666667,6.979861111111111,-3.979861111111111,-0.5701920206944583
44,2,45,NWE,Joejuan Williams\WillJo13,CB,21,2021.0,0,0,0,3.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,,Vanderbilt,College Stats,2,450.0,Baltimore Ravens,2022.0,0.15,0.44999999999999996,3.9675,-0.9674999999999998,-0.24385633270321358,"Apr 18, 2019",MNRL,"Brigham Minerals, Inc.",18.0,26.315,0.462,Energy,"Oil, Gas & Consumable Fuels",United States,2,0.25,0.75,6.6125,-3.6125,-0.5463137996219282
46,2,47,SEA,Marquise Blair\BlaiMa01,S,22,2021.0,0,0,0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,,Utah,College Stats,2,430.0,Indianapolis Colts,2022.0,0.14333333333333334,0.2866666666666667,3.791166666666667,-1.7911666666666668,-0.47245790653712577,"May 23, 2019",RTLR,Rattler Midstream LP,17.5,14.04,-0.198,Energy,"Oil, Gas & Consumable Fuels",United States,2,0.24305555555555555,0.4861111111111111,6.428819444444444,-4.428819444444444,-0.6889008911693222
48,2,49,IND,Ben Banogu\BanoBe00,LB,23,2021.0,0,0,0,3.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,2.5,TCU,College Stats,2,410.0,New Orleans Saints,2022.0,0.13666666666666666,0.41,3.614833333333333,-0.6148333333333329,-0.1700862188206002,"May 9, 2019",CRTX,"Cortexyme, Inc.",17.0,3.78,-0.778,Health Care,Biotechnology,United States,2,0.2361111111111111,0.7083333333333333,6.245138888888889,-3.2451388888888886,-0.5196263760702768
