IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Dec 29, 2020",MRM,"Medirom Healthcare Technologies, Inc.",15,7.82,-0.479,Consumer Cyclical,Personal Services,United States
"Dec 24, 2020",VTAQ,Ventoux CCM Acquisition Corp.,10,10.13,0.013,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 23, 2020",HCAR,Healthcare Services Acquisition Corporation,10,9.83,-0.017,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 23, 2020",VII,"7GC & Co. Holdings, Inc.",10,9.83,-0.017,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 23, 2020",IKT,"Inhibikase Therapeutics, Inc.",10,1.181,-0.882,Health Care,Biotechnology,United States
"Dec 23, 2020",VHAQ,Viveon Health Acquisition Corp.,10,10.18,0.018,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 23, 2020",GBS,"GBS, Inc.",17,0.775,-0.954,Health Care,Medical Devices,United States
"Dec 23, 2020",CFIV,CF Acquisition Corp. IV,10,9.87,-0.013,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 21, 2020",ACKIT,Ackrell SPAC Partners I Co.,10,10.25,0.025,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 18, 2020",MASS,"908 Devices, Inc.",20,18.25,-0.087,Health Care,Medical Devices,United States
"Dec 18, 2020",SVOK,Seven Oaks Acquisition Corp.,10,9.08,-0.092,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 18, 2020",MTAC,MedTech Acquisition Corporation,10,9.85,-0.015,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 18, 2020",GFX,Golden Falcon Acquisition Corp.,10,9.83,-0.017,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 18, 2020",IIII,Insu Acquisition Corp. III,10,9.85,-0.015,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 18, 2020",DUNE,Dune Acquisition Corporation,10,9.965,-0.003,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 17, 2020",SCOA,ScION Tech Growth I,10,9.85,-0.015,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 17, 2020",COOL,Corner Growth Acquisition Corp.,10,9.85,-0.015,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 17, 2020",MDWT,"Midwest Holding, Inc.",70,12.37,-0.823,Financial Services,Insurance-Life,United States
"Dec 17, 2020",VIRI,"Virios Therapeutics, Inc.",10,4.25,-0.575,Health Care,Biotechnology,United States
"Dec 16, 2020",UPST,"Upstart Holdings, Inc.",20,76.24,2.812,Financials,Consumer Finance,United States
"Dec 16, 2020",WISH,"ContextLogic, Inc.",24,1.705,-0.929,Consumer Discretionary,Internet & Direct Marketing Retail,United States
"Dec 16, 2020",BCAB,"BioAtla, Inc.",18,3.75,-0.792,Health Care,Biotechnology,United States
"Dec 16, 2020",SCPS,"Scopus Biopharma, Inc.",5.5,0.583,-0.894,Health Care,Biotechnology,United States
"Dec 16, 2020",CCV,Churchill Capital Corp V,10,9.875,-0.013,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 15, 2020",OCG,Oriental Culture Holding Ltd.,4,3.81,-0.048,Consumer Cyclical,Internet Retail,United States
"Dec 15, 2020",KINZ,"Kins Technology Group, Inc.",10,10.07,0.007,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 15, 2020",BLUW,Blue Water Acquisition Corp.,10,9.63,0.096,Blank Check / SPAC,Blank Check / SPAC,
"Dec 15, 2020",MRAC,Marquee Raine Acquisition Corp.,10,10.92,0.109,Blank Check / SPAC,Blank Check / SPAC,
"Dec 15, 2020",WNW,Wunong Net Technology Company Limited,5,0.693,-0.862,Consumer Cyclical,Internet Retail,United States
"Dec 15, 2020",ATA,Americas Technology Acquisition Corp.,10,10.28,0.028,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",TVAC,Thayer Ventures Acquisition Corporation,10,9.55,-0.045,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",ROCC.D,Roth CC Acquisition Corp. II,10,9.49,0.095,Blank Check / SPAC,Blank Check / SPAC,
"Dec 11, 2020",MOTV,Motive Capital Corp,10,10.11,0.011,Financial Services,Shell Companies,United States
"Dec 11, 2020",CERT,"Certara, Inc.",23,20.19,-0.122,Health Care,Health Information Services,United States
"Dec 11, 2020",GLAQ,Globis Acquisition Corp.,10,10.26,0.026,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",EDTX,EdtechX Holdings Acquisition Corp. II,10,10.11,0.011,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",DWIN,Delwinds Insurance Acquisition Corp.,10,9.97,-0.003,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",NBTX,Nanobiotix S.A.,13.5,6.305,-0.533,Health Care,Biotechnology,France
"Dec 11, 2020",VVOS,"Vivos Therapeutics, Inc.",6,1.73,-0.712,Health Care,Medical Devices,United States
"Dec 11, 2020",ABCL,AbCellera Biologics Inc.,20,7.97,-0.602,Health Care,Biotechnology,United States
"Dec 11, 2020",CBAH,"CBRE Acquisition Holdings, Inc.",10,10.75,0.075,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",SNRH,Senior Connect Acquisition Corp. I,10,9.86,-0.014,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 11, 2020",GHVI,"Gores Holdings VI, Inc.",10,14.47,0.145,Blank Check / SPAC,Blank Check / SPAC,
"Dec 11, 2020",FDMT,"4D Molecular Therapeutics, Inc.",23,12.19,-0.470,Health Care,Biotechnology,United States
"Dec 10, 2020",ABNB,"Airbnb, Inc.",68,156.7,1.304,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States
"Dec 10, 2020",PCPC,Periphas Capital Partnering Corporation,25,24.59,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 10, 2020",HYFM,"Hydrofarm Holdings Group, Inc.",20,10.9,-0.455,Industrials,Farm & Heavy Construction Machinery,United States
"Dec 10, 2020",RMGB,RMG Acquisition Corp. II,10,8.85,0.088,Blank Check / SPAC,Blank Check / SPAC,
"Dec 10, 2020",CTAQ,Carney Technology Acquisition Corp. II,10,9.85,-0.015,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 9, 2020",NEBC,Nebula Caravel Acquisition Corp.,10,10.99,0.110,Blank Check / SPAC,Blank Check / SPAC,
"Dec 9, 2020",HMCO,HumanCo Acquisition Corp.,10,9.837,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 9, 2020",ALTU,Altitude Acquisition Corp.,10,9.97,-0.003,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 9, 2020",PUBM,"PubMatic, Inc.",20,23.125,0.156,Consumer Discretionary,Internet & Direct Marketing Retail,United States
"Dec 9, 2020",FLAC,Frazier Lifesciences Acquisition Corp.,10,9.85,-0.015,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 9, 2020",DASH,"DoorDash, Inc.",102,89.42,-0.123,Consumer Discretionary,Internet & Direct Marketing Retail,United States
"Dec 9, 2020",AI,"C3.ai, Inc.",42,17.67,-0.579,Information Technology,Software,United States
"Dec 8, 2020",DDMX,DD3 Acquisition Corp. II,10,9.42,-0.058,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 8, 2020",MUDS,Mudrick Capital Acquisition Corp. II,10,10.055,0.006,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 8, 2020",RAAC,Revolution Acceleration Acquisition Corp.,10,9.3,0.093,Blank Check / SPAC,Blank Check / SPAC,
"Dec 8, 2020",CND,Concord Acquisition Corp,10,9.97,-0.003,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 4, 2020",SEER,"Seer, Inc.",19,8.77,-0.538,Health Care,Life Sciences Tools & Services,United States
"Dec 4, 2020",PTIC,Proptech Investment Corporation II,10,9.84,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 4, 2020",SGTX,"Sigilon Therapeutics, Inc.",18,1.22,-0.932,Health Care,Biotechnology,United States
"Dec 4, 2020",YQ,"17 Education & Technology Group, Inc.",10.5,1.97,-0.812,Communication Services,Interactive Media & Services,United States
"Dec 4, 2020",FTCV,FinTech Acquisition Corp. V,10,9.881,-0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 4, 2020",SBTX,"Silverback Therapeutics, Inc.",21,3.18,-0.849,Health Care,Biotechnology,United States
"Dec 3, 2020",KNTE,"Kinnate Biopharma, Inc.",20,8.315,-0.584,Health Care,Biotechnology,United States
"Dec 3, 2020",FPAC,Far Peak Acquisition Corporation,10,9.891,-0.011,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 3, 2020",LOKB,Live Oak Acquisition Corp II,10,13.38,0.134,Blank Check / SPAC,Blank Check / SPAC,
"Dec 3, 2020",SPFR,Jaws Spitfire Acquisition Corporation,10,8.44,0.084,Blank Check / SPAC,Blank Check / SPAC,
"Dec 3, 2020",HTPA,Highland Transcend Partners I Corp.,10,9.86,-0.014,Blank Check / SPAC,Blank Check / SPAC,United States
"Dec 3, 2020",DCBO,"Docebo, Inc.",52.21,45.46,-0.129,Technology,Software-Application,United States
"Dec 2, 2020",CAP,Capitol Investment Corp. V,10,7.95,0.080,Blank Check / SPAC,Blank Check / SPAC,
"Dec 2, 2020",RSVA,Rodgers Silicon Valley Acquisition Corp,10,20.36,0.204,Blank Check / SPAC,Blank Check / SPAC,
"Dec 2, 2020",TACA,Trepont Acquisition Corp. I,10,10.07,0.007,Blank Check / SPAC,Blank Check / SPAC,United States
"Nov 30, 2020",SGAM,Seaport Global Acquisition Corp.,10,9.62,0.096,Blank Check / SPAC,Blank Check / SPAC,
"Nov 25, 2020",SPRQ,Spartan Acquisition Corp. II,10,9.46,0.095,Blank Check / SPAC,Blank Check / SPAC,
"Nov 25, 2020",FRX,Forest Road Acquisition Corp.,10,12,0.120,Blank Check / SPAC,Blank Check / SPAC,
"Nov 24, 2020",VCVC,10X Capital Venture Acquisition Corp,10,9.85,0.098,Blank Check / SPAC,Blank Check / SPAC,
"Nov 24, 2020",TINV,Tiga Acquisition Corp.,10,10.25,0.025,Blank Check / SPAC,Blank Check / SPAC,United States
"Nov 24, 2020",SV,Spring Valley Acquisition Corp.,10,10.085,0.009,Blank Check / SPAC,Blank Check / SPAC,United States
"Nov 24, 2020",OZON,Ozon Holdings PLC,30,11.6,-0.613,Consumer Discretionary,Internet & Direct Marketing Retail,United States
"Nov 24, 2020",GNPK,Genesis Park Acquisition Corp.,10,10.5,0.105,Blank Check / SPAC,Blank Check / SPAC,
"Nov 24, 2020",HFEN,"HF Enterprises, Inc.",7,6.15,0.062,,,
